scenario,n_solutions,lcoe_min,lcoe_max,p_peak_min_kw,p_peak_max_kw,delta_p_kw
PV+BSV | BSV ≤ 6000 kWh,46,0.126437325114916,0.1430016113424047,291.5843076351977,468.24760011410217,176.66329247890445
PV+BSV | BSV ≤ 3000 kWh,2,0.1266239554720227,0.1267850558211102,468.24760011410217,468.2476001141024,2.2737367544323206e-13
PV+BSV | BSV ≤ 1500 kWh,2,0.1339113811206935,0.134220922228806,468.24760011410217,468.2476001141024,2.2737367544323206e-13
PV+BSV+H₂ | BSV ≤ 1500 kWh,47,0.1415178731510888,0.1805468249461139,351.2476001141024,468.2476001141024,117.0
