metric,min,mean,median,max
h2_lcoe_advantage_usd_kwh,0.0003639611375660101,0.014517817215603997,0.01535742577250046,0.01909090212397649
h2_lcoe_advantage_percent,0.2551625583877933,8.005008912121692,8.529361035761742,10.615946945057786
h2_peak_advantage_kw,2.0,33.961203611578824,35.808217392173276,41.80937909571168
h2_peak_advantage_percent,0.42712445285627537,7.775776980159473,8.195833054215566,9.641441830359444
h2_capex_advantage_usd,-1426760.0,-1178319.1176470588,-1301312.0,65240.0
h2_capex_advantage_percent,-355.0915546592579,-261.79481609397186,-278.56043993914346,8.754461769678752
h2_grid_energy_advantage_kwh,-4101.9717865786515,592596.3222719514,642812.9403310872,683873.9587404726
h2_grid_energy_advantage_percent,-0.27216485462871637,33.696429150475,36.77298329943362,38.990871080515646
h2_grid_dependency_advantage_pp,-0.18085529471338901,26.127479194574686,28.341522033267612,30.151895914911314
delta_pv_h2_minus_b1_kw,10.0,423.0882352941176,453.0,513.0
delta_bsv_h2_minus_b1_kwh,-61.0,1196.735294117647,1266.5,1415.0
delta_dispatchable_electric_kw_h2_minus_b1,-15.0,31.352941176470587,34.0,41.0
