b1_source_run,b1_source_solution_id,b1_peak_kw,b1_lcoe_usd_kwh,h2_global_solution_id,h2_peak_kw,h2_lcoe_usd_kwh,lcoe_gap_usd_kwh,annual_heat_credit_break_even_usd,heat_useful_break_even_kwh_th
seed42,0,410.4523135750388,0.1896951589458584,41,409.2257929892148,0.1616318346458821,0.028063324299976294,63650.31485450103,795628.9356812629
seed42,1,410.89810198526726,0.1896638543215509,41,409.2257929892148,0.1616318346458821,0.02803201967566879,63579.312959918774,794741.4119989846
seed42,2,411.3515545949132,0.1896327739858213,41,409.2257929892148,0.1616318346458821,0.02800093933993919,63508.81977337301,793860.2471671626
seed42,3,415.8640348984492,0.1889148842379263,43,415.525792989215,0.1609312956483505,0.02798358858957581,63469.466605095935,793368.3325636992
seed42,4,417.2476001141025,0.1880357124302613,45,416.708559535566,0.1603264142720194,0.027709298158241885,62847.34956260443,785591.8695325553
seed42,5,417.7717201674743,0.1874495245897559,46,417.6075019108348,0.159091688582614,0.028357836007141896,64318.295692731335,803978.6961591417
seed42,6,425.24760011410217,0.1869900375412441,49,424.2476001141024,0.1558592571612314,0.031130780380012713,70607.59985786169,882594.9982232711
seed42,7,425.2476001141032,0.1862552695362151,49,424.2476001141024,0.1558592571612314,0.03039601237498371,68941.07545165834,861763.4431457293
seed42,8,427.2476001141026,0.1861305528652083,49,424.2476001141024,0.1558592571612314,0.030271295703976908,68658.20606340148,858227.5757925184
seed42,9,428.2476001141022,0.1856939619004292,49,424.2476001141024,0.1558592571612314,0.029834704739197804,67667.97582290058,845849.6977862573
seed42,10,428.3578345096222,0.185306319655312,49,424.2476001141024,0.1558592571612314,0.029447062494080606,66788.76597987296,834859.574748412
seed42,11,430.2476001141024,0.1844669162026829,50,428.9476228014519,0.1543380188643187,0.030128897338364213,68335.23289353999,854190.4111692498
seed42,12,436.2476001141032,0.1844436944185219,52,435.2476001141024,0.153152435855222,0.031291258563299895,70971.57979068511,887144.7473835638
seed42,13,439.24760011410217,0.1842310197452163,54,438.2476001141024,0.1514607160103072,0.032770303734909106,74326.1962947974,929077.4536849675
seed42,14,439.2476001141031,0.1841112831778918,54,438.2476001141024,0.1514607160103072,0.032650567167584604,74054.62226000607,925682.7782500759
seed42,15,440.24760011410217,0.1838903840195606,54,438.2476001141024,0.1514607160103072,0.0324296680092534,73553.60175264989,919420.0219081236
seed42,16,442.2476001141025,0.1826997698082532,54,438.2476001141024,0.1514607160103072,0.031239053797946004,70853.17436885547,885664.6796106934
seed43,0,443.24760011410217,0.1824317355828486,55,442.35360330039424,0.1507531692177357,0.031678566365112876,71850.03108417716,898125.3885522145
seed43,1,443.2476001141024,0.1819924357681663,55,442.35360330039424,0.1507531692177357,0.031239266550430578,70853.6569119243,885670.7113990538
seed43,2,443.4132164387021,0.1818002142053701,55,442.35360330039424,0.1507531692177357,0.031047044987634387,70417.67994558136,880220.999319767
seed43,3,443.888325495238,0.1817663688987137,56,443.8201519946388,0.1481620181154153,0.0336043507832984,76217.89510659821,952723.6888324777
seed43,4,444.4525024531778,0.1817269387936106,56,443.8201519946388,0.1481620181154153,0.033564920678195304,76128.46384115968,951605.798014496
seed43,5,445.0569792098141,0.1816927970705297,56,443.8201519946388,0.1481620181154153,0.033530778955114415,76051.02713407023,950637.8391758779
seed42,17,445.2476001141024,0.1798323053306534,56,443.8201519946388,0.1481620181154153,0.0316702872152381,71831.25317709016,897890.664713627
seed43,8,447.9349765967564,0.1786353756972715,56,443.8201519946388,0.1481620181154153,0.03047335758185621,69116.50180946603,863956.2726183254
seed43,9,448.24760011410257,0.1785389203925819,56,443.8201519946388,0.1481620181154153,0.030376902277166606,68897.73191437969,861221.6489297461
seed43,10,448.6937270185009,0.1770125942932474,56,443.8201519946388,0.1481620181154153,0.0288505761778321,65435.87772508944,817948.471563618
seed43,11,449.2476001141023,0.176811587805854,56,443.8201519946388,0.1481620181154153,0.028649569690438692,64979.97570601188,812249.6963251485
seed43,12,451.6051142380329,0.1760417945530227,56,443.8201519946388,0.1481620181154153,0.027879776437607418,63234.01067379285,790425.1334224106
seed43,13,457.263901370698,0.1756872637582665,57,457.2476001141024,0.1462597824230723,0.029427481335194183,66744.35403084604,834304.4253855754
seed43,14,457.8096680508502,0.1682453963728939,57,457.2476001141024,0.1462597824230723,0.021985613949821597,49865.48404662226,623318.5505827782
seed43,15,461.13987986295103,0.167261545367826,58,459.2476001141024,0.1457608918658615,0.021500653501964506,48765.547172853185,609569.3396606648
seed42,23,462.5668151816717,0.166196214672857,58,459.2476001141024,0.1457608918658615,0.020435322806995504,46349.27483697034,579365.9354621292
seed43,16,468.2476001141024,0.1426389278527557,60,466.2476001141024,0.1422749667151897,0.0003639611375660101,825.4988166494044,10318.735208117554
