component,mean_delta_B1_minus_H2_usd_per_year,share_of_net_difference_percent
Annualized CAPEX,-120014.40483089878,-364.4774049543579
Fixed OPEX,-22839.773529411763,-69.36318517326845
Grid energy,173347.75719227432,526.4479775167096
Dispatchable/fuel,2434.224976869804,7.392612610916896
Degradation,0.0,0.0
