peak_budget_kw,h2_best_lcoe_usd_kwh,h2_actual_peak_kw,h2_global_solution_id,b1_best_lcoe_usd_kwh,b1_actual_peak_kw,b1_source_run,b1_source_solution_id,h2_lcoe_advantage_usd_kwh,h2_lcoe_advantage_percent
411.0,0.1616318346458821,409.2257929892148,41,0.1896638543215509,410.89810198526726,seed42,1,0.02803201967566879,14.779842883580798
412.0,0.1616318346458821,409.2257929892148,41,0.1896327739858213,411.3515545949132,seed42,2,0.02800093933993919,14.76587551370883
413.0,0.1616318346458821,409.2257929892148,41,0.1896327739858213,411.3515545949132,seed42,2,0.02800093933993919,14.76587551370883
414.0,0.1615583756877379,413.2444705279062,42,0.1896327739858213,411.3515545949132,seed42,2,0.02807439829808339,14.804612993839605
415.0,0.1615583756877379,413.2444705279062,42,0.1896327739858213,411.3515545949132,seed42,2,0.02807439829808339,14.804612993839605
416.0,0.1609312956483505,415.525792989215,43,0.1889148842379263,415.8640348984492,seed42,3,0.02798358858957581,14.812802444053194
417.0,0.1603264142720194,416.708559535566,45,0.1889148842379263,415.8640348984492,seed42,3,0.028588469965906887,15.132989695984742
418.0,0.159091688582614,417.6075019108348,46,0.1874495245897559,417.7717201674743,seed42,5,0.028357836007141896,15.128251762283556
419.0,0.159091688582614,417.6075019108348,46,0.1874495245897559,417.7717201674743,seed42,5,0.028357836007141896,15.128251762283556
420.0,0.159091688582614,417.6075019108348,46,0.1874495245897559,417.7717201674743,seed42,5,0.028357836007141896,15.128251762283556
421.0,0.1581494497185158,420.2040016631363,47,0.1874495245897559,417.7717201674743,seed42,5,0.02930007487124009,15.630914474371165
422.0,0.1581494497185158,420.2040016631363,47,0.1874495245897559,417.7717201674743,seed42,5,0.02930007487124009,15.630914474371165
423.0,0.1568482658880926,422.3718753759081,48,0.1874495245897559,417.7717201674743,seed42,5,0.030601258701663303,16.325066051053437
424.0,0.1568482658880926,422.3718753759081,48,0.1874495245897559,417.7717201674743,seed42,5,0.030601258701663303,16.325066051053437
425.0,0.1558592571612314,424.2476001141024,49,0.1874495245897559,417.7717201674743,seed42,5,0.0315902674285245,16.852679406715822
426.0,0.1558592571612314,424.2476001141024,49,0.1862552695362151,425.2476001141032,seed42,7,0.03039601237498371,16.319544918471994
427.0,0.1558592571612314,424.2476001141024,49,0.1862552695362151,425.2476001141032,seed42,7,0.03039601237498371,16.319544918471994
428.0,0.1558592571612314,424.2476001141024,49,0.1861305528652083,427.2476001141026,seed42,8,0.030271295703976908,16.263474877173294
429.0,0.1543380188643187,428.9476228014519,50,0.185306319655312,428.3578345096222,seed42,10,0.030968300790993303,16.711950703352908
430.0,0.1543380188643187,428.9476228014519,50,0.185306319655312,428.3578345096222,seed42,10,0.030968300790993303,16.711950703352908
431.0,0.1543380188643187,428.9476228014519,50,0.1844669162026829,430.2476001141024,seed42,11,0.030128897338364213,16.332954417289713
432.0,0.1540310924193837,431.2476001141024,51,0.1844669162026829,430.2476001141024,seed42,11,0.030435823783299204,16.499340049604267
433.0,0.1540310924193837,431.2476001141024,51,0.1844669162026829,430.2476001141024,seed42,11,0.030435823783299204,16.499340049604267
434.0,0.1540310924193837,431.2476001141024,51,0.1844669162026829,430.2476001141024,seed42,11,0.030435823783299204,16.499340049604267
435.0,0.1540310924193837,431.2476001141024,51,0.1844669162026829,430.2476001141024,seed42,11,0.030435823783299204,16.499340049604267
436.0,0.153152435855222,435.2476001141024,52,0.1844669162026829,430.2476001141024,seed42,11,0.0313144803474609,16.97566208189556
437.0,0.1529465479376509,436.8806710097879,53,0.1844436944185219,436.2476001141032,seed42,12,0.03149714648087101,17.076835605667664
438.0,0.1529465479376509,436.8806710097879,53,0.1844436944185219,436.2476001141032,seed42,12,0.03149714648087101,17.076835605667664
439.0,0.1514607160103072,438.2476001141024,54,0.1844436944185219,436.2476001141032,seed42,12,0.03298297840821471,17.882410408334646
440.0,0.1514607160103072,438.2476001141024,54,0.1841112831778918,439.2476001141031,seed42,14,0.032650567167584604,17.734147850154848
441.0,0.1514607160103072,438.2476001141024,54,0.1838903840195606,440.24760011410217,seed42,15,0.0324296680092534,17.635325621922583
442.0,0.1514607160103072,438.2476001141024,54,0.1838903840195606,440.24760011410217,seed42,15,0.0324296680092534,17.635325621922583
443.0,0.1507531692177357,442.35360330039424,55,0.1826997698082532,442.2476001141025,seed42,16,0.03194660059051749,17.485846109191073
444.0,0.1481620181154153,443.8201519946388,56,0.1817663688987137,443.888325495238,seed43,3,0.0336043507832984,18.487661379220196
445.0,0.1481620181154153,443.8201519946388,56,0.1817269387936106,444.4525024531778,seed43,4,0.033564920678195304,18.469975283254715
446.0,0.1481620181154153,443.8201519946388,56,0.1798323053306534,445.2476001141024,seed42,17,0.0316702872152381,17.611011078908593
447.0,0.1481620181154153,443.8201519946388,56,0.1798323053306534,445.2476001141024,seed42,17,0.0316702872152381,17.611011078908593
448.0,0.1481620181154153,443.8201519946388,56,0.1786353756972715,447.9349765967564,seed43,8,0.03047335758185621,17.05897136158438
449.0,0.1481620181154153,443.8201519946388,56,0.1770125942932474,448.6937270185009,seed43,10,0.0288505761778321,16.29860083855778
450.0,0.1481620181154153,443.8201519946388,56,0.176811587805854,449.2476001141023,seed43,11,0.028649569690438692,16.203445739029863
451.0,0.1481620181154153,443.8201519946388,56,0.176811587805854,449.2476001141023,seed43,11,0.028649569690438692,16.203445739029863
452.0,0.1481620181154153,443.8201519946388,56,0.1760417945530227,451.6051142380329,seed43,12,0.027879776437607418,15.837021264407866
453.0,0.1481620181154153,443.8201519946388,56,0.1760417945530227,451.6051142380329,seed43,12,0.027879776437607418,15.837021264407866
454.0,0.1481620181154153,443.8201519946388,56,0.1760417945530227,451.6051142380329,seed43,12,0.027879776437607418,15.837021264407866
455.0,0.1481620181154153,443.8201519946388,56,0.1760417945530227,451.6051142380329,seed43,12,0.027879776437607418,15.837021264407866
456.0,0.1481620181154153,443.8201519946388,56,0.1760417945530227,451.6051142380329,seed43,12,0.027879776437607418,15.837021264407866
457.0,0.1481620181154153,443.8201519946388,56,0.1760417945530227,451.6051142380329,seed43,12,0.027879776437607418,15.837021264407866
