source_run,source_solution_id,lcoe_usd_kwh,P_peak_grid_opt_kw,dominated_by_h2,n_h2_dominators,h2_dominator_global_solution_id,h2_dominator_source_run,h2_dominator_source_solution_id,h2_dominator_lcoe_usd_kwh,h2_dominator_peak_kw
seed42,0,0.1896951589458584,410.4523135750388,True,38,41,cold_start_20260830_174912,17,0.1616318346458821,409.2257929892148
seed42,1,0.1896638543215509,410.89810198526726,True,38,41,cold_start_20260830_174912,17,0.1616318346458821,409.2257929892148
seed42,2,0.1896327739858213,411.3515545949132,True,38,41,cold_start_20260830_174912,17,0.1616318346458821,409.2257929892148
seed42,3,0.1889148842379263,415.8640348984492,True,39,43,cold_start_20260830_174912,19,0.1609312956483505,415.525792989215
seed42,4,0.1880357124302613,417.2476001141025,True,40,45,cold_start_20260830_174912,21,0.1603264142720194,416.708559535566
seed42,5,0.1874495245897559,417.7717201674743,True,40,46,cold_start_20260830_174912,22,0.159091688582614,417.6075019108348
seed42,6,0.1869900375412441,425.24760011410217,True,42,49,cold_start_20260830_174912,25,0.1558592571612314,424.2476001141024
seed42,7,0.1862552695362151,425.2476001141032,True,42,49,cold_start_20260830_174912,25,0.1558592571612314,424.2476001141024
seed42,8,0.1861305528652083,427.2476001141026,True,42,49,cold_start_20260830_174912,25,0.1558592571612314,424.2476001141024
seed42,9,0.1856939619004292,428.2476001141022,True,42,49,cold_start_20260830_174912,25,0.1558592571612314,424.2476001141024
seed42,10,0.185306319655312,428.3578345096222,True,42,49,cold_start_20260830_174912,25,0.1558592571612314,424.2476001141024
seed42,11,0.1844669162026829,430.2476001141024,True,42,50,cold_start_20260830_174912,26,0.1543380188643187,428.9476228014519
seed42,12,0.1844436944185219,436.2476001141032,True,44,52,cold_start_20260830_174912,28,0.153152435855222,435.2476001141024
seed42,13,0.1842310197452163,439.24760011410217,True,45,54,cold_start_20260830_174912,30,0.1514607160103072,438.2476001141024
seed42,14,0.1841112831778918,439.2476001141031,True,45,54,cold_start_20260830_174912,30,0.1514607160103072,438.2476001141024
seed42,15,0.1838903840195606,440.24760011410217,True,45,54,cold_start_20260830_174912,30,0.1514607160103072,438.2476001141024
seed42,16,0.1826997698082532,442.2476001141025,True,42,54,cold_start_20260830_174912,30,0.1514607160103072,438.2476001141024
seed43,0,0.1824317355828486,443.24760011410217,True,43,55,cold_start_20260830_174912,31,0.1507531692177357,442.35360330039424
seed43,1,0.1819924357681663,443.2476001141024,True,43,55,cold_start_20260830_174912,31,0.1507531692177357,442.35360330039424
seed43,2,0.1818002142053701,443.4132164387021,True,42,55,cold_start_20260830_174912,31,0.1507531692177357,442.35360330039424
seed43,3,0.1817663688987137,443.888325495238,True,43,56,cold_start_20260830_174912,32,0.1481620181154153,443.8201519946388
seed43,4,0.1817269387936106,444.4525024531778,True,43,56,cold_start_20260830_174912,32,0.1481620181154153,443.8201519946388
seed43,5,0.1816927970705297,445.0569792098141,True,43,56,cold_start_20260830_174912,32,0.1481620181154153,443.8201519946388
seed42,17,0.1798323053306534,445.2476001141024,True,40,56,cold_start_20260830_174912,32,0.1481620181154153,443.8201519946388
seed43,8,0.1786353756972715,447.9349765967564,True,38,56,cold_start_20260830_174912,32,0.1481620181154153,443.8201519946388
seed43,9,0.1785389203925819,448.24760011410257,True,38,56,cold_start_20260830_174912,32,0.1481620181154153,443.8201519946388
seed43,10,0.1770125942932474,448.6937270185009,True,36,56,cold_start_20260830_174912,32,0.1481620181154153,443.8201519946388
seed43,11,0.176811587805854,449.2476001141023,True,36,56,cold_start_20260830_174912,32,0.1481620181154153,443.8201519946388
seed43,12,0.1760417945530227,451.6051142380329,True,35,56,cold_start_20260830_174912,32,0.1481620181154153,443.8201519946388
seed43,13,0.1756872637582665,457.263901370698,True,36,57,cold_start_20260830_174912,33,0.1462597824230723,457.2476001141024
seed43,14,0.1682453963728939,457.8096680508502,True,28,57,cold_start_20260830_174912,33,0.1462597824230723,457.2476001141024
seed43,15,0.167261545367826,461.13987986295103,True,26,58,cold_start_20260830_174912,34,0.1457608918658615,459.2476001141024
seed42,23,0.166196214672857,462.5668151816717,True,23,58,cold_start_20260830_174912,34,0.1457608918658615,459.2476001141024
seed43,16,0.1426389278527557,468.2476001141024,True,1,60,cold_start_20260830_174912,36,0.1422749667151897,466.2476001141024
