solution_id,LCOE_usd_kWh,E_grid_total_kWh,E_load_total_kWh,Grid_energy_share_percent,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh,R_peak_percent,P_peak_opt_kW,P_peak_ref_kW,Peak_reduction_percent,Peak_grid_dependency_percent,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,scenario
3,0.18030529451283037,1170661.0352293672,2268096.0450061434,51.61426200653669,73786.64025194652,325732.2452614388,77.34745597792322,369.4791496889529,474.8149521321564,22.184600963005295,22.65254402207678,709.0,913.0,374.0,377.0,87.0,tariff_035_with_h2
6,0.19888386785147866,1174917.2602932486,2268096.0450061434,51.80191830412835,275913.49872827716,325732.2452614388,15.294385882237771,367.4791496889529,474.8149521321564,22.605817689862572,84.70561411776222,748.0,797.0,378.0,350.0,89.0,tariff_035_with_h2_no_penalty
3,0.1855927775918092,1191949.1552424883,2268096.0450061434,52.552851889447204,83903.47507361302,325732.2452614388,74.24158145403428,369.4791496889529,474.8149521321564,22.184600963005295,25.75841854596573,722.0,854.0,355.0,358.0,87.0,tariff_050_with_h2
0,0.2172076446519706,1169839.6413395405,2268096.0450061434,51.57804687836188,274436.73550552095,325732.2452614388,15.74775310155342,367.3444554936201,474.8149521321564,22.63418541390495,84.25224689844659,775.0,777.0,379.0,325.0,91.0,tariff_050_with_h2_no_penalty
3,0.19514841183194037,1164364.848113908,2268096.0450061434,51.336664101045784,69745.99717548289,325732.2452614388,78.58793589209952,366.50816120111705,474.8149521321564,22.81031598619373,21.412064107900477,822.0,892.0,349.0,405.0,94.0,tariff_075_with_h2
0,0.201898476935883,1240213.486881928,2268096.0450061434,54.68081872514217,116230.05828299801,325732.2452614388,64.31730049025094,409.8149521321564,474.8149521321564,13.6895436228614,35.682699509749064,699.0,806.0,345.0,353.0,65.0,tariff_075_with_h2_no_penalty
0,0.18726255008312642,1270058.4590375023,2268096.0450061434,55.996678881121284,49930.61469822822,325732.2452614388,84.67127052215756,450.0,474.8149521321564,5.22623645711342,15.328729477842447,569.0,962.0,311.0,386.0,102.0,tariff_100_with_h2_no_penalty
