case,mean_heat_useful_MWh_th_year,mean_heat_credit_USD_year,mean_lcoe_reduction_percent,B1_nondominated_solutions
T0,-9.062102121676448e-16,-7.249681697341157e-14,0.0,0
T1,38.0233001666454,3041.864013331632,0.7355519196610424,1
T2,46.23703700922585,3698.9629607380675,0.8899709887483153,1
TMAX,50.17261116308915,4013.8088930471317,0.9638350275680165,1
