component,H2_mean_usd_per_year,B1_mean_usd_per_year,delta_B1_minus_H2_mean_usd_per_year,delta_median_usd_per_year,delta_min_usd_per_year,delta_max_usd_per_year,pairs_H2_lower_cost,pairs_B1_lower_cost
Annualized CAPEX,167966.99391894622,47952.589088047425,-120014.40483089878,-132541.50156807178,-145318.65746051833,6644.838103622344,1,33
Fixed OPEX,26660.376470588235,3820.6029411764707,-22839.773529411763,-24372.09,-28480.36,-272.60000000000036,0,34
Grid energy,175621.60157756254,348969.35876983684,173347.75719227432,188900.71567730856,-8359.507161414396,196003.60473432383,33,1
Dispatchable/fuel,6809.837751064526,9244.062727934328,2434.224976869804,1299.4688301532215,-1086.5213316740674,10169.876762403395,21,13
Degradation,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Total annual,377058.80971816153,409986.61352699506,32927.80380883356,34832.11665608367,825.4988166494877,43299.999602990574,34,0
