b1_index,b1_source_run,b1_source_solution_id,b1_peak_kw,b1_lcoe_original_usd_kwh,b1_lcoe_expost_usd_kwh,dominated_by_h2_expost,h2_dominator_id,h2_peak_kw,h2_lcoe_expost_usd_kwh
0,seed42,0,410.4523135750388,0.1896951589458584,0.2548435609336648,True,35,403.2476001141024,0.23028318197563813
1,seed42,1,410.89810198526726,0.1896638543215509,0.2548830133780606,True,35,403.2476001141024,0.23028318197563813
2,seed42,2,411.3515545949132,0.1896327739858213,0.2549239065991087,True,35,403.2476001141024,0.23028318197563813
3,seed42,3,415.8640348984492,0.1889148842379263,0.2549222532349637,True,40,407.2476001141024,0.2286428186735131
4,seed42,4,417.2476001141025,0.1880357124302613,0.2542626856538181,True,42,413.2444705279062,0.22714995842410446
5,seed42,5,417.7717201674743,0.1874495245897559,0.2537596879496516,True,43,415.525792989215,0.2268849777269735
6,seed42,6,425.24760011410217,0.1869900375412441,0.2544867982618255,True,44,416.2476001141024,0.22680965299310557
7,seed42,7,425.2476001141032,0.1862552695362151,0.2537520302567967,True,44,416.2476001141024,0.22680965299310557
8,seed42,8,427.2476001141026,0.1861305528652083,0.253944760460046,True,44,416.2476001141024,0.22680965299310557
9,seed42,9,428.2476001141022,0.1856939619004292,0.2536668929323949,True,44,416.2476001141024,0.22680965299310557
10,seed42,10,428.3578345096222,0.185306319655312,0.2532967474694244,True,44,416.2476001141024,0.22680965299310557
11,seed42,11,430.2476001141024,0.1844669162026829,0.2527572941089048,True,44,416.2476001141024,0.22680965299310557
12,seed42,12,436.2476001141032,0.1844436944185219,0.2536864129475125,True,52,435.2476001141024,0.22223643094708437
13,seed42,13,439.24760011410217,0.1842310197452163,0.25394990858559097,True,53,436.8806710097879,0.2222897496551503
14,seed42,14,439.2476001141031,0.1841112831778918,0.25383017201826663,True,53,436.8806710097879,0.2222897496551503
15,seed42,15,440.24760011410217,0.1838903840195606,0.25376799629706337,True,53,436.8806710097879,0.2222897496551503
16,seed42,16,442.2476001141025,0.1826997698082532,0.2528948289600122,True,53,436.8806710097879,0.2222897496551503
17,seed43,0,443.24760011410217,0.1824317355828486,0.25278551817173567,True,53,436.8806710097879,0.2222897496551503
18,seed43,1,443.2476001141024,0.1819924357681663,0.2523462183570534,True,53,436.8806710097879,0.2222897496551503
19,seed43,2,443.4132164387021,0.1818002142053701,0.2521802839865422,True,53,436.8806710097879,0.2222897496551503
20,seed43,3,443.888325495238,0.1817663688987137,0.25222184962234984,True,53,436.8806710097879,0.2222897496551503
21,seed43,4,444.4525024531778,0.1817269387936106,0.2522719676231594,True,53,436.8806710097879,0.2222897496551503
22,seed43,5,445.0569792098141,0.1816927970705297,0.2523337705285559,True,53,436.8806710097879,0.2222897496551503
23,seed42,17,445.2476001141024,0.1798323053306534,0.25050353479379667,True,53,436.8806710097879,0.2222897496551503
24,seed43,8,447.9349765967564,0.1786353756972715,0.24973315479259883,True,55,442.35360330039424,0.22096505355956947
25,seed43,9,448.24760011410257,0.1785389203925819,0.24968632016710945,True,55,442.35360330039424,0.22096505355956947
26,seed43,10,448.6937270185009,0.1770125942932474,0.24823080486343638,True,55,442.35360330039424,0.22096505355956947
27,seed43,11,449.2476001141023,0.176811587805854,0.24811771101750957,True,55,442.35360330039424,0.22096505355956947
28,seed43,12,451.6051142380329,0.1760417945530227,0.2477221105095066,True,55,442.35360330039424,0.22096505355956947
29,seed43,13,457.263901370698,0.1756872637582665,0.2482657618584232,True,57,457.2476001141024,0.21883569313175263
30,seed43,14,457.8096680508502,0.1682453963728939,0.24091052043639433,True,57,457.2476001141024,0.21883569313175263
31,seed43,15,461.13987986295103,0.167261545367826,0.24045525209650764,True,58,459.2476001141024,0.218654249448798
32,seed42,23,462.5668151816717,0.166196214672857,0.23961640947988544,True,58,459.2476001141024,0.218654249448798
33,seed43,16,468.2476001141024,0.1426389278527557,0.216960796369845,True,60,466.2476001141024,0.2162793883580228
