component,H2_mean_usd_per_year,B1_mean_usd_per_year,delta_B1_minus_H2_usd_per_year
Annualized CAPEX,167966.99391894622,47952.589088047425,-120014.4048308988
Fixed OPEX,26660.376470588235,3820.6029411764707,-22839.773529411763
Grid energy,175621.60157756254,348969.35876983684,173347.7571922743
Grid peak,3016.6801237395607,123671.40705442757,120654.72693068802
Dispatchable/fuel,6809.837751064526,9244.062727934328,2434.224976869802
Degradation,0.0,0.0,0.0
Total annual,380075.48984190106,533658.0205814226,153582.53073952155
