component,min_usd_per_year,mean_usd_per_year,median_usd_per_year,max_usd_per_year,positive_pairs,negative_pairs,zero_pairs
delta_annualized_capex_b1_minus_h2_usd,-145318.65746051833,-120014.40483089878,-132541.50156807178,6644.838103622344,1,33,0
delta_fixed_opex_b1_minus_h2_usd,-28480.36,-22839.773529411763,-24372.09,-272.60000000000036,0,34,0
delta_grid_opex_b1_minus_h2_usd,-8359.507161414396,173347.75719227432,188900.71567730856,196003.60473432383,33,1,0
delta_peak_opex_b1_minus_h2_usd,-11063.15913346805,120654.72693068805,128020.9178652257,139665.06268210374,33,1,0
delta_dispatchable_opex_b1_minus_h2_usd,-1086.5213316740674,2434.224976869804,1299.4688301532215,10169.876762403395,21,13,0
delta_degradation_b1_minus_h2_usd,0.0,0.0,0.0,0.0,0,0,34
delta_total_annual_cost_b1_minus_h2_usd,-10237.660316818568,153582.53073952158,160883.1790386325,180383.4717043797,33,1,0
